id_gato,id_tutor_hash,data_coleta,sexo,idade_anos,peso_kg,energia_0a100,vacinado,castrado,pelagem,cor,temperamento,alimentacao,visitas_vet_ult_ano,gosta_caixa,score_saude_0a100
G00028,T8407968605,2025-09-15,M,1,4.5,83,True,True,curta,preto,arisco,mista,0,True,92
G00029,T3450174056,2025-09-20,F,5,4.0,71,True,True,curta,siamês,calmo,ração seca,3,False,78
G00030,T4896752435,2025-06-15,F,4,4.2,93,False,True,longa,laranja,carinhoso,ração seca,1,True,84
G00031,T4749993982,2025-05-16,F,1,4.0,52,True,True,curta,branco,brincalhão,mista,3,False,83
G00032,T3872408451,2025-11-03,F,8,5.4,55,True,True,média,tigrado,calmo,ração seca,2,True,71
G00033,T1475263912,2025-03-09,F,6,3.7,52,True,False,longa,cinza,carinhoso,ração úmida,2,True,75
G00034,T2797980864,2025-01-28,M,1,4.4,96,True,True,curta,siamês,calmo,ração seca,1,True,93
G00035,T5124358373,2025-02-27,F,13,4.7,41,False,True,curta,cinza,carinhoso,mista,0,True,60
G00036,T6816616869,2025-10-20,M,3,4.1,42,True,True,média,branco,arisco,ração seca,1,True,81
G00037,T8532069216,2025-06-21,F,16,5.0,35,True,True,curta,laranja,arisco,ração seca,4,True,49
G00038,T5184761105,2025-01-14,F,15,4.3,36,False,True,curta,laranja,arisco,mista,2,False,52
G00039,T1763304321,2025-03-03,M,5,4.0,70,True,True,curta,tigrado,brincalhão,mista,3,True,78
G00040,T4118435751,2025-01-11,F,3,4.6,58,False,True,curta,cinza,brincalhão,ração seca,1,True,81
G00041,T2053932093,2025-10-25,F,12,5.9,45,False,True,curta,branco,calmo,ração seca,5,False,55
G00042,T4468325327,2025-06-18,M,4,4.9,61,False,True,média,siamês,brincalhão,ração seca,0,True,81
G00043,T2730706111,2025-01-25,M,2,4.7,61,True,True,média,preto,calmo,ração seca,1,False,86
G00044,T3742341433,2025-03-22,M,7,5.0,60,True,True,longa,tigrado,arisco,ração seca,2,True,74
G00045,T9296672051,2025-08-14,F,6,4.1,60,True,True,média,branco,carinhoso,mista,2,False,76
G00046,T4882763756,2025-08-05,F,12,5.7,54,True,True,curta,tigrado,arisco,ração seca,2,True,63
G00047,T2907591499,2025-10-27,M,10,5.4,47,True,True,curta,branco,calmo,ração úmida,2,False,66
G00048,T3813129541,2025-01-10,M,13,3.9,46,True,True,média,preto,brincalhão,ração seca,2,True,60
G00049,T4049700720,2025-01-26,F,10,5.5,33,True,True,curta,laranja,brincalhão,ração úmida,2,True,64
G00050,T1969668513,2025-01-13,M,9,5.9,67,True,True,curta,tigrado,calmo,ração seca,1,True,73
G00051,T6596128268,2025-05-24,M,6,5.4,49,True,True,curta,tricolor,carinhoso,ração úmida,0,False,77
G00052,T9265977059,2025-09-23,M,17,3.5,38,False,True,curta,cinza,brincalhão,ração úmida,1,True,50
G00053,T2571773238,2025-08-30,F,16,4.8,33,True,True,curta,preto,caçador,ração seca,3,True,50
G00054,T8171353794,2025-03-18,F,12,5.5,43,True,True,curta,tigrado,carinhoso,ração seca,0,False,64
G00055,T5284825810,2025-08-28,F,11,5.0,53,True,True,curta,branco,carinhoso,ração seca,6,True,59
G00056,T6288801149,2025-08-28,M,7,5.2,30,True,True,curta,preto,arisco,mista,0,False,72
G00057,T9940316485,2025-03-11,F,3,4.8,60,True,False,longa,laranja,caçador,ração seca,1,True,84
G00058,T9314870495,2025-10-01,M,13,5.5,48,True,True,curta,laranja,calmo,ração úmida,3,True,59
G00059,T3042184141,2025-06-04,F,0,4.8,98,True,True,longa,preto,brincalhão,ração seca,2,True,94
G00060,T2863184873,2025-01-22,M,3,4.9,66,True,True,curta,branco,arisco,mista,1,True,84
G00061,T4896752435,2025-05-23,F,5,4.4,32,False,True,curta,cinza,caçador,ração seca,2,True,72
G00062,T1490502834,2025-10-08,F,8,5.2,49,True,True,média,siamês,arisco,mista,3,True,69
G00063,T7098586872,2025-09-12,F,7,4.2,55,True,True,curta,branco,carinhoso,ração seca,0,True,76
G00064,T1648532323,2025-04-08,M,2,4.0,83,True,True,média,preto,carinhoso,mista,0,True,90
G00065,T4904011245,2025-10-04,F,1,4.1,73,True,True,curta,cinza,calmo,ração úmida,0,True,91
G00066,T8526738614,2025-05-23,F,3,4.6,51,True,False,média,branco,arisco,ração seca,0,True,84
G00067,T1558567958,2025-06-17,M,4,5.5,75,True,True,curta,siamês,caçador,mista,2,True,82
G00068,T4726234844,2025-02-01,F,0,4.7,82,True,True,média,cinza,carinhoso,ração úmida,2,True,91
G00069,T2206851488,2025-12-30,F,9,4.6,41,True,True,longa,branco,arisco,ração seca,1,True,69
G00070,T4926849937,2025-11-03,F,3,4.1,75,False,True,média,laranja,carinhoso,ração úmida,1,False,84
G00071,T2161270514,2025-03-13,F,4,3.9,57,True,True,curta,branco,calmo,ração seca,2,True,80
G00072,T8747208762,2025-07-24,M,4,5.1,60,False,True,longa,siamês,carinhoso,mista,0,False,81
G00073,T9861117474,2025-10-12,F,6,3.3,52,False,False,curta,branco,calmo,ração seca,2,True,73
G00074,T6091947103,2025-07-04,M,13,5.5,35,True,True,curta,tricolor,calmo,mista,4,True,55
G00075,T9578849724,2025-03-18,M,2,6.7,80,True,True,curta,cinza,carinhoso,mista,1,True,88
G00076,T6851125140,2025-12-20,F,4,3.2,42,False,True,curta,branco,brincalhão,ração úmida,0,True,78
G00077,T1760438969,2025-04-09,F,9,4.7,63,True,False,média,tigrado,calmo,ração úmida,3,False,69
G00078,T6738298304,2025-05-03,F,0,4.3,77,True,False,média,laranja,arisco,ração seca,3,True,89
G00079,T8439503361,2025-05-16,F,12,5.2,37,False,True,curta,laranja,brincalhão,ração úmida,2,False,59
G00080,T5286315777,2025-11-22,M,16,4.8,30,False,True,longa,siamês,calmo,ração seca,1,True,51
G00081,T4706298069,2025-07-02,F,8,4.9,42,False,True,curta,cinza,carinhoso,ração seca,1,False,69
G00082,T6284115464,2025-09-20,M,15,5.1,13,True,True,curta,laranja,calmo,ração seca,3,False,49
G00083,T6920769565,2025-11-25,F,5,3.4,50,True,True,longa,siamês,arisco,ração seca,1,True,78
G00084,T6972589419,2025-12-05,F,5,5.0,38,True,False,curta,cinza,calmo,ração seca,1,False,76
G00085,T7706693154,2025-11-09,F,1,4.5,56,True,False,curta,tigrado,brincalhão,ração úmida,3,True,84
G00086,T3115874051,2025-11-28,F,0,3.3,56,True,False,curta,laranja,arisco,ração seca,2,True,87
G00087,T9514220082,2025-12-13,F,3,3.8,81,True,False,curta,cinza,carinhoso,ração seca,0,True,88
G00088,T3717346522,2025-12-28,F,6,4.0,43,True,True,curta,branco,carinhoso,ração seca,1,True,75
G00089,T6051007611,2025-08-23,F,6,3.3,58,False,True,curta,preto,brincalhão,mista,1,True,75
G00090,T7283087055,2025-02-18,M,2,5.3,83,True,True,média,laranja,brincalhão,ração seca,4,True,84
G00091,T2451446011,2025-02-11,F,8,5.1,63,True,True,curta,tricolor,brincalhão,ração úmida,4,True,69
G00092,T2206851488,2025-10-18,M,2,4.5,66,False,True,média,laranja,calmo,ração seca,1,True,84
G00093,T7458752328,2025-04-26,F,4,4.3,60,True,True,média,cinza,arisco,mista,2,True,80
G00094,T4888837357,2025-10-21,F,2,4.2,72,True,True,média,branco,calmo,ração seca,3,True,84
G00095,T8022713445,2025-12-08,F,9,4.8,75,True,True,curta,preto,arisco,ração seca,2,True,72
G00096,T7098928062,2025-08-24,F,7,3.5,60,True,False,curta,cinza,calmo,ração seca,3,True,72
G00097,T4704184019,2025-10-06,F,10,5.0,55,False,True,média,tricolor,brincalhão,ração seca,2,True,65
G00098,T5333422062,2025-04-12,F,0,3.2,100,False,True,curta,branco,calmo,ração úmida,1,True,94
G00099,T7821192868,2025-06-08,M,5,5.4,64,True,True,média,branco,calmo,ração úmida,0,True,82
G00100,T5267194075,2025-12-19,M,16,4.7,44,False,True,média,siamês,caçador,ração seca,4,True,49
G00101,T4007001402,2025-10-26,M,0,3.7,81,True,True,média,tigrado,arisco,mista,1,True,93
G00102,T2039410572,2025-03-16,F,5,4.3,67,True,True,curta,preto,carinhoso,ração seca,0,True,82
G00103,T6473162907,2025-12-08,F,0,4.0,63,False,True,curta,siamês,caçador,mista,1,True,88
G00104,T8868829287,2025-07-02,F,2,4.2,56,True,True,média,tricolor,brincalhão,mista,3,True,82
G00105,T8662011844,2025-11-05,M,6,4.4,52,True,False,curta,tigrado,carinhoso,ração seca,2,True,75
G00106,T5048733699,2025-07-10,M,2,4.9,80,False,True,curta,branco,brincalhão,ração seca,3,False,84
G00107,T7458752328,2025-08-09,F,7,4.7,65,True,True,curta,tigrado,caçador,mista,4,True,72
G00108,T5328193854,2025-03-01,F,14,5.7,52,False,True,curta,cinza,caçador,ração seca,5,True,52
G00109,T3690492860,2025-05-04,M,2,4.9,69,True,False,curta,branco,brincalhão,ração seca,1,False,87
G00110,T9163776942,2025-09-21,M,1,4.3,79,True,True,curta,tigrado,carinhoso,mista,0,True,92
G00111,T4468325327,2025-11-04,M,12,4.5,48,False,True,média,cinza,carinhoso,ração seca,1,True,62
G00112,T7971614931,2025-02-02,F,6,3.3,57,True,True,curta,siamês,calmo,ração seca,0,False,79
G00113,T1223735422,2025-01-29,F,13,5.1,35,True,True,média,cinza,arisco,mista,4,True,55
G00114,T3997847449,2025-09-10,F,4,4.8,46,False,True,média,preto,caçador,ração seca,1,True,77
G00115,T2535336716,2025-06-13,F,8,3.9,51,True,False,curta,cinza,arisco,ração seca,1,True,72
G00116,T7825800134,2025-11-06,F,14,5.0,35,False,True,longa,preto,carinhoso,ração seca,3,True,53
G00117,T8742536975,2025-01-25,M,2,4.6,83,False,True,curta,preto,brincalhão,ração seca,0,True,88
G00118,T5982214605,2025-05-08,M,11,5.9,59,False,True,curta,cinza,brincalhão,ração seca,2,False,64
G00119,T1454677267,2025-01-13,M,8,5.8,54,True,True,curta,preto,arisco,ração seca,2,True,71
G00120,T2070193132,2025-09-16,F,12,3.3,66,False,True,curta,laranja,caçador,ração seca,1,True,64
G00121,T5878711314,2025-11-10,F,2,4.9,72,True,False,média,tricolor,calmo,ração seca,0,True,89
G00122,T7318019629,2025-02-27,F,5,4.5,73,True,True,longa,siamês,arisco,ração seca,1,True,81
G00123,T6288801149,2025-04-29,F,1,3.7,71,True,True,curta,branco,calmo,ração seca,0,True,91
G00124,T5804560119,2025-11-05,M,16,5.1,17,False,True,média,laranja,caçador,ração seca,3,True,46
G00125,T8911619016,2025-01-16,M,0,4.6,70,False,True,curta,branco,carinhoso,ração seca,2,True,88
G00126,T9637970700,2025-12-14,F,1,3.7,90,True,True,curta,laranja,carinhoso,ração seca,1,True,92
G00127,T6816616869,2025-11-20,F,14,4.2,33,True,True,curta,tigrado,carinhoso,ração seca,3,True,54
G00128,T9780601164,2025-02-25,M,3,4.3,61,True,True,curta,siamês,brincalhão,mista,1,False,84
G00129,T3174750178,2025-02-20,M,8,4.4,53,True,False,média,branco,arisco,ração úmida,1,True,72
G00130,T7142459535,2025-09-10,F,3,5.2,62,False,True,curta,laranja,carinhoso,mista,0,True,83
G00131,T1834804696,2025-01-04,F,9,4.7,64,True,True,curta,laranja,caçador,ração seca,2,False,71
G00132,T2605975856,2025-07-04,F,2,5.7,92,True,True,curta,branco,brincalhão,ração seca,2,False,89
G00133,T8087174871,2025-01-25,M,6,5.3,58,True,True,longa,preto,calmo,ração seca,2,False,76
G00134,T8868829287,2025-07-13,M,7,5.5,62,True,False,curta,branco,caçador,mista,3,True,73
G00135,T8008758135,2025-05-08,M,4,4.1,75,True,True,longa,tricolor,caçador,ração seca,1,True,84
G00136,T4334137354,2025-09-15,M,3,4.7,68,False,True,longa,laranja,brincalhão,mista,1,True,83
G00137,T9195744044,2025-11-18,F,2,4.2,59,False,True,média,tigrado,calmo,ração úmida,1,True,83
G00138,T7616164847,2025-06-28,F,10,4.3,42,True,True,curta,cinza,carinhoso,mista,4,True,62
G00139,T7721106502,2025-08-23,F,2,3.8,74,True,False,média,branco,caçador,ração seca,0,False,89
G00140,T9785155516,2025-08-08,M,3,5.1,71,True,True,curta,branco,brincalhão,ração seca,1,False,85
G00141,T6782349483,2025-12-26,M,4,5.2,42,True,True,curta,tigrado,caçador,ração seca,1,True,79
G00142,T7996088147,2025-03-26,F,6,3.5,53,True,True,curta,cinza,carinhoso,ração seca,1,False,76
G00143,T3230556066,2025-03-29,M,9,5.4,41,True,True,curta,tricolor,caçador,ração úmida,3,False,66
G00144,T1944817443,2025-05-19,M,5,5.3,72,True,True,curta,cinza,brincalhão,ração seca,1,True,81
G00145,T7031829298,2025-09-26,M,13,5.0,30,False,True,curta,laranja,arisco,ração úmida,2,False,56
G00146,T7850257317,2025-11-12,M,9,4.7,44,True,False,média,laranja,calmo,ração seca,1,True,69
G00147,T5286315777,2025-04-12,M,12,5.7,35,True,True,longa,cinza,brincalhão,ração úmida,4,True,57
G00148,T5218833673,2025-02-10,M,10,3.5,56,True,True,curta,siamês,calmo,ração seca,1,False,69
G00149,T4550333661,2025-08-11,F,2,4.1,81,True,True,curta,tigrado,caçador,mista,3,True,86
G00150,T9073300590,2025-08-07,M,16,6.6,36,True,True,curta,laranja,caçador,ração seca,2,True,52
G00151,T1067563295,2025-05-17,F,11,3.0,57,False,False,média,laranja,caçador,ração seca,2,True,64
G00152,T8745129273,2025-03-09,F,7,5.1,70,True,True,curta,branco,calmo,ração seca,0,False,78
G00153,T1892412735,2025-11-07,F,2,4.5,48,True,True,curta,tigrado,arisco,ração seca,0,True,85
G00154,T6843098397,2025-11-05,F,2,3.1,77,True,True,curta,laranja,carinhoso,ração seca,0,True,90
G00155,T6629303412,2025-09-30,M,8,5.5,48,True,True,média,tricolor,caçador,ração seca,2,True,70
G00156,T8127769826,2025-07-31,M,5,5.7,46,True,True,média,tigrado,caçador,mista,0,False,79
G00157,T8680627659,2025-04-06,F,9,3.8,46,False,True,curta,branco,brincalhão,ração úmida,1,True,67
G00158,T7531440654,2025-05-28,F,4,3.8,73,True,True,longa,siamês,brincalhão,ração seca,2,True,82
G00159,T1112228901,2025-01-25,M,6,5.0,76,True,True,curta,siamês,brincalhão,ração seca,3,True,77
G00160,T7996643544,2025-04-02,M,2,5.4,53,True,True,curta,tigrado,caçador,mista,1,True,84
G00161,T9912894978,2025-06-14,F,2,3.8,77,True,True,média,tigrado,caçador,ração seca,0,True,90
G00162,T5989748968,2025-06-09,F,1,4.0,96,True,True,curta,tigrado,brincalhão,ração seca,2,True,91
G00163,T1850200012,2025-01-30,F,12,4.4,63,True,True,média,tricolor,carinhoso,ração seca,5,False,60
G00164,T7996088147,2025-12-16,F,7,4.5,14,True,True,curta,laranja,brincalhão,mista,0,True,70
G00165,T2039410572,2025-04-08,F,15,5.6,59,False,True,curta,branco,arisco,ração seca,2,True,56
G00166,T2231391502,2025-07-05,F,10,4.8,59,False,True,curta,laranja,caçador,ração seca,1,True,67
G00167,T8010967191,2025-06-19,F,11,4.5,17,False,True,curta,preto,carinhoso,ração seca,1,False,59
G00168,T6414026072,2025-06-21,F,6,4.4,49,True,True,média,tricolor,carinhoso,ração seca,3,False,73
G00169,T6672543338,2025-11-05,M,12,4.9,56,False,True,longa,siamês,calmo,ração seca,1,True,63
G00170,T1239199884,2025-09-30,F,15,4.1,37,True,True,curta,cinza,arisco,ração seca,2,True,55
G00171,T8150113274,2025-11-13,F,10,5.5,40,False,True,curta,cinza,calmo,ração seca,1,True,64
G00172,T4600553015,2025-05-19,F,1,5.2,73,False,True,média,tricolor,calmo,ração seca,0,True,89
G00173,T3884420455,2025-04-07,M,9,4.0,56,True,True,média,laranja,carinhoso,ração úmida,1,True,71
G00174,T9397208994,2025-06-06,F,1,4.5,65,True,True,média,tricolor,caçador,mista,1,True,88
G00175,T2512007637,2025-07-24,M,1,5.3,71,True,True,curta,cinza,calmo,mista,1,True,89
G00176,T8764881073,2025-05-03,F,9,3.8,61,True,True,curta,tricolor,calmo,ração seca,3,True,69
G00177,T8456922323,2025-06-17,M,12,5.1,33,True,True,curta,tigrado,calmo,mista,4,True,57
G00178,T8344504150,2025-02-25,F,2,3.7,53,True,True,curta,tigrado,arisco,ração seca,1,True,84
G00179,T1927024157,2025-08-02,F,1,5.4,65,False,False,curta,tigrado,arisco,mista,2,True,85
G00180,T2335950909,2025-09-18,M,13,6.6,28,False,False,curta,preto,carinhoso,ração seca,3,True,54
G00181,T3984120976,2025-07-12,F,1,3.4,65,True,True,curta,branco,arisco,mista,6,True,81
G00182,T3968750910,2025-11-15,F,0,3.0,54,True,True,curta,siamês,arisco,ração úmida,0,True,90
G00183,T3030335813,2025-12-30,M,10,5.8,50,True,True,curta,tricolor,brincalhão,ração seca,2,True,66
G00184,T9550549851,2025-11-27,M,12,5.8,52,True,False,curta,siamês,calmo,ração seca,8,True,54
G00185,T8403247815,2025-02-03,M,6,5.9,48,True,True,curta,tigrado,calmo,ração úmida,2,False,74
G00186,T9129950847,2025-11-18,F,7,3.7,48,True,True,curta,siamês,carinhoso,ração seca,2,True,72
G00187,T5165194290,2025-05-02,F,4,4.8,62,True,True,média,tricolor,brincalhão,ração seca,3,True,79
G00188,T6053404549,2025-06-14,M,3,4.3,56,True,True,curta,siamês,caçador,ração seca,0,True,84
G00189,T2489389818,2025-05-31,M,10,5.7,59,True,True,curta,laranja,carinhoso,mista,0,True,71
G00190,T5284825810,2025-04-14,M,12,5.4,31,False,True,curta,siamês,caçador,ração seca,4,False,55
G00191,T8890397175,2025-11-17,M,4,6.2,57,True,True,média,siamês,calmo,ração úmida,3,True,78
G00192,T5146926447,2025-08-21,F,3,4.5,57,True,True,curta,branco,carinhoso,ração seca,3,True,80
G00193,T4822992323,2025-12-19,M,3,4.6,79,True,False,longa,tricolor,brincalhão,ração seca,1,True,86
G00194,T7348657289,2025-12-15,F,0,4.1,72,True,True,média,branco,arisco,ração seca,1,True,91
G00195,T8372798913,2025-06-03,F,3,4.1,91,False,True,curta,tigrado,arisco,ração seca,0,True,88
G00196,T9514220082,2025-09-23,F,0,3.2,79,True,True,curta,preto,brincalhão,ração seca,2,True,91
G00197,T7917827427,2025-07-03,M,11,6.7,58,False,True,longa,tigrado,arisco,ração seca,3,True,62
G00198,T2382516091,2025-06-30,F,3,5.3,63,True,True,longa,preto,brincalhão,ração seca,3,True,81
G00199,T1969668513,2025-09-27,F,9,4.5,38,True,True,média,laranja,calmo,mista,4,False,64
G00200,T5686051622,2025-09-09,F,7,5.0,55,False,True,média,tricolor,carinhoso,ração úmida,4,True,68
G00201,T4025169716,2025-11-29,M,12,6.9,33,True,False,curta,tigrado,carinhoso,ração seca,4,True,57
G00202,T2907591499,2025-10-09,M,16,6.3,6,True,True,curta,cinza,calmo,mista,2,True,48
G00203,T3861919872,2025-08-16,F,4,4.1,76,True,True,média,siamês,brincalhão,ração seca,0,True,85
G00204,T8003362802,2025-12-02,F,1,4.0,73,False,False,longa,cinza,carinhoso,ração seca,0,True,89
G00205,T7501234155,2025-02-07,F,10,3.5,39,True,True,curta,tricolor,caçador,ração seca,2,True,65
G00206,T5703685979,2025-10-06,F,0,4.5,80,False,False,curta,tricolor,calmo,ração seca,1,True,90
G00207,T9418432326,2025-05-24,F,3,5.1,67,True,True,curta,preto,caçador,ração seca,4,True,80
G00208,T7567171378,2025-06-08,F,0,4.9,92,True,True,longa,branco,carinhoso,ração úmida,1,True,94
G00209,T9861117474,2025-10-13,F,14,5.3,41,True,True,longa,siamês,arisco,mista,3,True,56
G00210,T3603881224,2025-04-10,M,0,4.8,73,True,False,curta,tigrado,calmo,mista,0,True,93
G00211,T8326183461,2025-11-19,M,6,4.3,67,True,True,curta,preto,caçador,ração úmida,3,True,76
G00212,T7147440579,2025-07-02,F,5,4.6,61,True,False,média,tigrado,calmo,mista,3,True,77
G00213,T7752393891,2025-05-08,M,9,4.8,52,True,True,curta,branco,calmo,mista,8,True,60
G00214,T4612200017,2025-04-30,F,3,4.6,81,True,True,curta,cinza,carinhoso,ração úmida,1,True,87
G00215,T4354321071,2025-06-03,M,13,4.9,25,True,True,curta,tricolor,arisco,mista,2,True,57
G00216,T4065317160,2025-12-11,M,10,5.7,37,False,True,curta,laranja,arisco,mista,4,True,60
G00217,T8551627577,2025-02-07,F,5,5.3,56,True,True,curta,siamês,brincalhão,ração seca,2,True,77
G00218,T8046641170,2025-07-05,F,4,4.5,61,False,True,média,laranja,carinhoso,mista,1,False,80
G00219,T1927024157,2025-11-01,F,12,5.1,55,False,True,curta,tigrado,carinhoso,mista,3,True,60
G00220,T1125426589,2025-06-22,M,10,5.9,30,False,True,longa,tigrado,arisco,ração seca,2,False,62
G00221,T6430820088,2025-07-26,M,5,6.2,61,True,True,curta,tigrado,calmo,mista,0,True,81
G00222,T6102440157,2025-05-08,F,4,4.2,57,True,False,curta,laranja,carinhoso,ração seca,0,False,83
G00223,T9440438094,2025-02-19,F,0,4.4,95,True,True,curta,cinza,calmo,ração seca,4,True,90
G00224,T4636309516,2025-08-22,M,1,5.7,83,False,True,curta,cinza,caçador,ração seca,1,True,89
G00225,T4081633091,2025-12-02,F,0,4.5,78,True,True,curta,preto,caçador,mista,2,False,91
G00226,T8644917997,2025-07-09,M,0,3.2,87,False,True,curta,siamês,calmo,ração seca,0,True,93
G00227,T3618260543,2025-06-07,F,2,3.6,54,True,True,curta,cinza,arisco,mista,0,True,86
G00228,T2799173822,2025-02-17,M,13,6.0,63,False,True,curta,tricolor,arisco,ração seca,1,True,62
G00229,T3214599503,2025-12-11,F,11,4.5,34,False,True,média,cinza,calmo,ração seca,2,True,60
G00230,T6284115464,2025-11-14,M,12,6.4,56,False,False,curta,tigrado,arisco,ração seca,2,True,61
G00231,T5958178916,2025-11-26,F,8,5.9,59,True,True,curta,tricolor,calmo,ração seca,1,True,73
G00232,T7044515279,2025-05-12,F,8,4.1,56,False,True,curta,laranja,brincalhão,ração seca,2,True,69
G00233,T2321773613,2025-08-17,M,1,3.9,87,True,True,curta,laranja,carinhoso,ração seca,1,True,92
G00234,T2382520556,2025-06-07,M,9,5.0,62,True,False,média,laranja,arisco,ração seca,7,True,63
G00235,T5439609782,2025-03-27,F,3,3.9,68,False,True,média,tigrado,calmo,ração seca,2,True,81
G00236,T2481470358,2025-03-17,F,7,5.6,50,True,True,média,laranja,calmo,ração seca,0,True,76
G00237,T1917047415,2025-05-21,F,15,4.1,34,False,True,curta,tricolor,calmo,ração úmida,1,True,54
G00238,T8239248240,2025-07-21,F,13,5.4,37,True,True,média,tigrado,caçador,ração úmida,3,True,57
G00239,T7603781476,2025-02-14,M,3,5.8,71,True,True,curta,tricolor,brincalhão,ração seca,1,True,85
G00240,T9350158871,2025-09-14,F,10,5.3,59,True,True,curta,tricolor,calmo,mista,2,True,68
G00241,T9696087209,2025-06-17,M,1,5.0,78,True,True,curta,tricolor,arisco,ração seca,1,True,90
G00242,T6848619413,2025-11-18,F,0,3.9,77,True,True,média,branco,carinhoso,ração seca,0,True,94
G00243,T7654883216,2025-04-12,F,0,5.3,67,True,True,longa,cinza,arisco,ração seca,0,False,92
G00244,T2578118603,2025-01-19,F,2,4.0,73,True,False,curta,tigrado,calmo,ração seca,2,False,86
G00245,T4367656390,2025-04-24,M,9,5.9,29,False,True,curta,cinza,brincalhão,ração seca,2,False,63
G00246,T3830056225,2025-12-22,M,4,4.8,54,True,True,curta,tigrado,brincalhão,ração seca,3,True,78
G00247,T1391275558,2025-04-28,F,0,2.7,82,True,True,longa,cinza,calmo,ração seca,1,True,93
G00248,T6397258210,2025-09-14,M,17,5.3,38,True,True,curta,laranja,caçador,mista,5,True,46
G00249,T1132145592,2025-11-04,F,7,4.4,55,True,True,média,tricolor,caçador,mista,1,True,75
G00250,T7089871442,2025-04-14,F,5,4.2,63,False,True,média,preto,caçador,ração seca,0,True,79
G00251,T4465805464,2025-08-23,M,7,4.6,60,True,False,curta,tricolor,carinhoso,ração seca,2,True,74
G00252,T9177226216,2025-03-16,M,7,5.5,64,False,True,curta,tigrado,calmo,mista,4,True,70
G00253,T5096060581,2025-05-13,F,6,4.9,56,False,True,curta,preto,calmo,ração seca,6,True,67
G00254,T2142189779,2025-04-19,F,8,4.3,41,True,True,média,preto,brincalhão,ração úmida,2,True,69
G00255,T2585244692,2025-09-03,M,13,5.2,43,False,True,curta,cinza,calmo,ração seca,2,True,57
G00256,T5108069750,2025-11-16,M,3,4.1,90,True,True,curta,siamês,arisco,ração seca,2,True,86
G00257,T7969023110,2025-04-03,M,6,5.2,47,True,True,curta,preto,carinhoso,ração seca,1,True,76
G00258,T3858720709,2025-04-17,F,0,5.0,73,True,False,média,tigrado,carinhoso,ração seca,1,True,91
G00259,T6546780729,2025-10-27,F,13,5.8,34,True,True,curta,tigrado,calmo,ração úmida,1,True,60
