id_gato,id_tutor_hash,data_coleta,sexo,idade_anos,peso_kg,energia_0a100,castrado,visitas_vet_ult_ano,pelagem,cor,temperamento,alimentacao,gosta_caixa,vacinado,score_saude_0a100
G00108,T1658006560,2025-03-24,M,3.0,5.0,96,FALSO,0,curta,tigrado,,mista,VERDADEIRO,FALSO,88
G00109,T4521424668,2025-05-24,F,1.0,4.3,74,VERDADEIRO,0,curta,tigrado,calmo,mista,VERDADEIRO,FALSO,89
G00110,T1470720251,2025-04-01,M,14.0,5.2,32,VERDADEIRO,2,média,laranja,calmo,ração seca,FALSO,VERDADEIRO,56
G00111,T4551914706,2025-04-20,M,6.0,4.9,58,VERDADEIRO,2,curta,tigrado,carinhoso,mista,VERDADEIRO,VERDADEIRO,76
G00112,T2245513857,2025-08-02,M,3.0,5.5,70,FALSO,0,longa,laranja,,ração úmida,VERDADEIRO,FALSO,84
G00113,T7574750160,2025-04-24,F,4.0,,69,VERDADEIRO,2,média,siamês,calmo,ração seca,VERDADEIRO,VERDADEIRO,81
G00114,T8500263844,2025-04-26,F,,4.9,78,FALSO,0,curta,tigrado,,ração úmida,VERDADEIRO,FALSO,76
G00115,T7190338850,2025-09-02,F,2.0,4.0,59,VERDADEIRO,2,média,cinza,calmo,ração seca,FALSO,VERDADEIRO,84
G00116,T2804447371,2025-10-31,M,13.0,5.2,49,VERDADEIRO,1,curta,tigrado,carinhoso,ração seca,VERDADEIRO,VERDADEIRO,62
G00117,T7901633736,2025-03-19,M,11.0,4.4,47,VERDADEIRO,3,longa,branco,carinhoso,ração seca,VERDADEIRO,VERDADEIRO,63
G00118,T3245501773,2025-02-10,F,10.0,3.3,28,VERDADEIRO,3,longa,branco,carinhoso,mista,FALSO,VERDADEIRO,62
G00119,T7835397372,2025-03-29,M,6.0,4.8,67,VERDADEIRO,2,curta,tricolor,calmo,ração úmida,VERDADEIRO,VERDADEIRO,77
G00120,T6106578174,2025-07-30,F,9.0,4.7,65,VERDADEIRO,3,média,tigrado,caçador,ração seca,VERDADEIRO,VERDADEIRO,69
G00121,T4300412646,2025-12-17,,8.0,3.7,42,VERDADEIRO,0,curta,preto,brincalhão,ração seca,FALSO,FALSO,70
G00122,T1751431402,2025-02-28,M,9.0,,50,FALSO,2,curta,cinza,caçador,ração úmida,VERDADEIRO,FALSO,66
G00123,T8447585588,2025-01-16,F,1.0,4.1,51,FALSO,0,média,siamês,caçador,ração seca,VERDADEIRO,FALSO,86
G00124,T9456876287,2025-07-12,M,5.0,3.4,46,FALSO,3,longa,tigrado,arisco,ração seca,FALSO,VERDADEIRO,74
G00125,T6993260020,2025-12-28,M,0.0,4.0,88,VERDADEIRO,3,curta,siamês,carinhoso,ração seca,VERDADEIRO,VERDADEIRO,91
G00126,T9680874100,2025-07-21,F,,4.8,50,FALSO,3,média,laranja,carinhoso,mista,VERDADEIRO,VERDADEIRO,71
G00127,T9407002771,2025-12-04,F,4.0,4.6,50,FALSO,1,média,preto,carinhoso,ração seca,VERDADEIRO,,78
G00128,T2751475607,2025-08-23,F,2.0,3.3,72,FALSO,1,curta,branco,calmo,ração úmida,FALSO,,87
G00129,T7580911137,2025-01-12,F,1.0,4.2,66,FALSO,0,média,preto,calmo,mista,FALSO,FALSO,88
G00130,T4143743374,2025-06-06,,8.0,5.3,47,VERDADEIRO,6,média,tricolor,caçador,ração seca,FALSO,VERDADEIRO,64
G00131,T5387656245,2025-10-09,F,2.0,4.7,78,FALSO,0,média,tricolor,carinhoso,mista,VERDADEIRO,FALSO,88
G00132,T2412688880,2025-07-05,F,15.0,,19,VERDADEIRO,1,longa,laranja,carinhoso,ração seca,VERDADEIRO,FALSO,51
G00133,T9773014852,2025-03-13,M,8.0,4.8,42,VERDADEIRO,3,curta,tricolor,brincalhão,ração seca,FALSO,,68
G00134,T7535236447,2025-03-08,F,4.0,3.8,66,FALSO,1,curta,laranja,arisco,ração seca,VERDADEIRO,FALSO,80
G00135,T3402174786,2025-08-31,F,8.0,4.9,64,VERDADEIRO,2,curta,tricolor,brincalhão,ração úmida,VERDADEIRO,VERDADEIRO,73
G00136,T4343245211,2025-06-19,M,0.0,4.7,90,FALSO,1,curta,tigrado,arisco,mista,VERDADEIRO,FALSO,92
G00137,T4802346341,2025-07-29,M,16.0,5.9,22,VERDADEIRO,2,curta,laranja,carinhoso,ração úmida,FALSO,VERDADEIRO,50
G00138,T7727803517,2025-05-17,M,6.0,5.1,69,VERDADEIRO,0,média,tigrado,carinhoso,ração úmida,VERDADEIRO,VERDADEIRO,80
G00139,T9331275400,2025-05-04,M,11.0,5.9,35,VERDADEIRO,3,curta,cinza,brincalhão,ração seca,VERDADEIRO,VERDADEIRO,61
G00140,T3892961196,2025-09-01,F,1.0,4.1,94,VERDADEIRO,2,média,tricolor,,mista,FALSO,FALSO,89
G00141,T5252500794,2025-01-03,M,6.0,5.6,45,VERDADEIRO,1,curta,siamês,calmo,ração seca,FALSO,FALSO,73
G00142,T6338868155,2025-06-08,F,7.0,5.1,71,VERDADEIRO,2,curta,branco,,ração seca,FALSO,VERDADEIRO,76
G00143,T4540095931,2025-05-16,F,15.0,4.3,25,VERDADEIRO,2,média,tigrado,carinhoso,mista,VERDADEIRO,VERDADEIRO,53
G00144,T5537631910,2025-10-12,F,,3.3,77,VERDADEIRO,0,média,preto,arisco,ração seca,VERDADEIRO,VERDADEIRO,78
G00145,T1951368661,2025-09-23,M,6.0,6.1,65,FALSO,2,curta,cinza,brincalhão,ração seca,VERDADEIRO,VERDADEIRO,77
G00146,T2509069489,2025-06-05,M,3.0,,54,VERDADEIRO,0,longa,tigrado,brincalhão,ração seca,VERDADEIRO,FALSO,82
G00147,T4609911314,2025-04-06,F,4.0,3.1,58,FALSO,0,curta,branco,brincalhão,ração seca,FALSO,FALSO,81
G00148,T9234451105,2025-03-28,F,7.0,4.0,65,VERDADEIRO,2,curta,branco,caçador,mista,VERDADEIRO,VERDADEIRO,75
G00149,T4144222411,2025-03-19,F,6.0,5.0,71,FALSO,1,curta,cinza,calmo,ração seca,VERDADEIRO,FALSO,77
G00150,T3248135277,2025-04-10,F,0.0,3.8,74,VERDADEIRO,1,média,preto,carinhoso,mista,VERDADEIRO,FALSO,90
G00151,T7685759987,2025-10-05,,12.0,5.1,42,VERDADEIRO,0,curta,tigrado,,ração seca,VERDADEIRO,FALSO,62
G00152,T9542171494,2025-01-17,F,,5.8,45,VERDADEIRO,2,média,preto,arisco,ração úmida,FALSO,VERDADEIRO,58
G00153,T5132112553,2025-01-10,M,2.0,,71,FALSO,0,curta,cinza,,mista,VERDADEIRO,FALSO,87
G00154,T1077444600,2025-07-17,M,7.0,4.5,40,VERDADEIRO,2,curta,cinza,arisco,ração úmida,VERDADEIRO,VERDADEIRO,71
G00155,T7193343983,2025-03-23,F,1.0,4.2,62,FALSO,3,média,siamês,arisco,ração seca,VERDADEIRO,FALSO,83
G00156,T4735547214,2025-10-31,M,,5.5,53,FALSO,3,curta,siamês,carinhoso,ração úmida,VERDADEIRO,VERDADEIRO,67
G00157,T7062809829,2025-10-02,M,4.0,,78,FALSO,1,curta,preto,caçador,ração úmida,VERDADEIRO,FALSO,82
G00158,T3499448642,2025-10-08,M,,5.9,69,VERDADEIRO,1,curta,branco,carinhoso,mista,FALSO,VERDADEIRO,73
G00159,T1021673294,2025-06-16,,10.0,5.4,56,VERDADEIRO,3,curta,tricolor,caçador,ração seca,VERDADEIRO,VERDADEIRO,66
G00160,T4100465968,2025-06-09,F,11.0,5.1,48,VERDADEIRO,1,curta,cinza,arisco,ração seca,VERDADEIRO,VERDADEIRO,66
G00161,T7343131083,2025-06-05,M,1.0,4.5,81,VERDADEIRO,3,curta,tigrado,carinhoso,ração úmida,VERDADEIRO,VERDADEIRO,88
G00162,T4538019547,2025-03-13,F,14.0,4.9,28,VERDADEIRO,3,curta,siamês,,ração seca,VERDADEIRO,VERDADEIRO,54
G00163,T2972567256,2025-07-27,F,3.0,4.3,65,VERDADEIRO,0,curta,branco,brincalhão,ração seca,VERDADEIRO,FALSO,84
G00164,T5176061777,2025-11-12,M,0.0,4.8,65,FALSO,1,curta,siamês,caçador,mista,VERDADEIRO,FALSO,88
G00165,T7771136709,2025-04-04,M,7.0,5.6,40,VERDADEIRO,0,curta,preto,carinhoso,ração seca,VERDADEIRO,,72
G00166,T2074897781,2025-01-21,F,5.0,4.7,65,FALSO,2,curta,branco,arisco,ração seca,VERDADEIRO,,79
G00167,T7225768302,2025-07-26,F,12.0,4.9,44,VERDADEIRO,2,média,laranja,carinhoso,ração úmida,FALSO,,62
G00168,T7006096214,2025-05-26,F,12.0,4.3,50,VERDADEIRO,1,média,siamês,calmo,ração seca,FALSO,FALSO,62
G00169,T4336640917,2025-10-19,F,4.0,4.3,70,VERDADEIRO,0,curta,laranja,carinhoso,ração seca,VERDADEIRO,FALSO,82
G00170,T9733025722,2025-11-09,M,15.0,5.4,36,FALSO,1,curta,preto,arisco,ração seca,VERDADEIRO,,54
G00171,T9052347695,2025-12-13,M,4.0,5.0,70,FALSO,2,curta,branco,caçador,ração seca,VERDADEIRO,VERDADEIRO,82
G00172,T3845453327,2025-05-24,F,7.0,,55,VERDADEIRO,1,curta,tricolor,carinhoso,ração seca,VERDADEIRO,VERDADEIRO,75
G00173,T1279819840,2025-11-26,,3.0,4.4,72,VERDADEIRO,1,curta,laranja,,mista,VERDADEIRO,VERDADEIRO,85
G00174,T3774743260,2025-02-13,F,15.0,5.1,24,VERDADEIRO,3,média,preto,arisco,ração seca,VERDADEIRO,VERDADEIRO,51
G00175,T2842497482,2025-05-17,F,2.0,4.9,74,VERDADEIRO,0,média,laranja,arisco,ração seca,VERDADEIRO,FALSO,87
G00176,T5925267226,2025-04-08,F,,4.1,83,VERDADEIRO,1,curta,cinza,caçador,ração úmida,FALSO,FALSO,91
G00177,T9268699790,2025-12-03,M,6.0,6.7,50,FALSO,1,longa,preto,carinhoso,ração seca,FALSO,VERDADEIRO,76
G00178,T8833037590,2025-08-08,M,18.0,5.2,25,VERDADEIRO,0,curta,branco,calmo,ração seca,VERDADEIRO,FALSO,48
G00179,T3752462400,2025-05-14,M,14.0,,28,VERDADEIRO,5,longa,siamês,arisco,ração seca,VERDADEIRO,VERDADEIRO,51
G00180,T4857377802,2025-02-25,M,11.0,4.8,38,VERDADEIRO,2,média,tigrado,brincalhão,ração seca,VERDADEIRO,FALSO,61
G00181,T1328879791,2025-10-13,F,14.0,4.6,22,VERDADEIRO,2,curta,preto,calmo,ração seca,VERDADEIRO,VERDADEIRO,54
G00182,T5897471568,2025-08-28,M,14.0,5.6,51,FALSO,3,curta,preto,caçador,ração seca,VERDADEIRO,VERDADEIRO,57
G00183,T1570311820,2025-11-08,M,7.0,5.7,68,VERDADEIRO,0,curta,cinza,caçador,mista,VERDADEIRO,FALSO,76
G00184,T9447455496,2025-06-09,M,4.0,5.1,70,FALSO,0,longa,laranja,caçador,mista,VERDADEIRO,FALSO,82
G00185,T8802404513,2025-02-24,M,11.0,6.3,68,VERDADEIRO,1,curta,laranja,brincalhão,mista,VERDADEIRO,FALSO,67
G00186,T2927688637,2025-05-03,F,9.0,4.6,48,VERDADEIRO,0,média,tigrado,,ração seca,VERDADEIRO,FALSO,69
G00187,T7294318118,2025-08-15,M,5.0,4.7,97,VERDADEIRO,2,curta,branco,carinhoso,mista,VERDADEIRO,VERDADEIRO,84
G00188,T6112183441,2025-03-29,,1.0,6.0,69,VERDADEIRO,0,curta,preto,calmo,ração úmida,VERDADEIRO,FALSO,88
G00189,T8212219412,2025-01-26,M,11.0,5.6,47,FALSO,3,curta,tigrado,calmo,ração seca,VERDADEIRO,VERDADEIRO,63
G00190,T5280868960,2025-10-28,,3.0,3.7,62,FALSO,1,curta,siamês,arisco,mista,VERDADEIRO,,82
G00191,T2725947735,2025-07-13,M,15.0,,37,VERDADEIRO,1,curta,branco,carinhoso,mista,VERDADEIRO,VERDADEIRO,56
G00192,T6758590601,2025-05-25,M,3.0,4.2,77,FALSO,1,longa,cinza,arisco,ração seca,VERDADEIRO,,84
G00193,T1722522942,2025-07-21,F,2.0,4.8,68,FALSO,0,curta,tigrado,,mista,VERDADEIRO,VERDADEIRO,88
G00194,T6261291920,2025-09-27,F,12.0,4.6,63,VERDADEIRO,1,longa,branco,arisco,ração seca,VERDADEIRO,FALSO,64
G00195,T2914343249,2025-01-01,F,2.0,4.2,72,FALSO,1,longa,siamês,caçador,ração seca,VERDADEIRO,FALSO,85
G00196,T7164427934,2025-06-10,M,2.0,4.7,73,FALSO,0,curta,branco,brincalhão,ração seca,FALSO,FALSO,87
